object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_huldrsadmin_producer_string_sort,object_objectSize_num
459302208,W25093-Outline,urn-3:HUL.DRS.OBJECT:37588913,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,2018-10-05T19:05:04.311Z,,outlineW25093-Outline,607687,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW25093-Outline_20181005_145502,1,,P,Tibetan Buddhist Resource Center,14861
459302209,W19837-Outline,urn-3:HUL.DRS.OBJECT:37588916,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,2018-10-05T19:05:04.524Z,,outlineW19837-Outline,607688,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW19837-Outline_20181005_145558,1,,P,Tibetan Buddhist Resource Center,952742
459302212,W30084-Outline,urn-3:HUL.DRS.OBJECT:37588915,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,2018-10-05T19:05:04.465Z,,outlineW30084-Outline,607686,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW30084-Outline_20181005_143447,1,,P,Tibetan Buddhist Resource Center,12980
459302223,W25094-Outline,urn-3:HUL.DRS.OBJECT:37588920,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,2018-10-05T19:05:05.851Z,,outlineW25094-Outline,607690,2018-10-05T19:05:06.0Z,FHCL.COLL_outlineW25094-Outline_20181005_145651,1,,P,Tibetan Buddhist Resource Center,48532
459304973,W19837-I1PD27428,"urn-3:FHCL:37591420, urn-3:HUL.DRS.OBJECT:37591419",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-05T21:28:15.417Z,,batchW19837-1-ee,607694,2018-10-05T21:28:13.0Z,FHCL.COLL_batchW19837-1-ee_20181005_171824,552,,R,Tibetan Buddhist Resource Center,17308322
459305527,W19837-I1PD27429,"urn-3:FHCL:37591422, urn-3:HUL.DRS.OBJECT:37591421",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-05T21:28:36.273Z,,batchW19837-1-ee,607694,2018-10-05T21:28:13.0Z,FHCL.COLL_batchW19837-1-ee_20181005_171824,644,,R,Tibetan Buddhist Resource Center,26263494
459306173,W19837-I1PD27430,"urn-3:FHCL:37591424, urn-3:HUL.DRS.OBJECT:37591423",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-05T21:29:00.488Z,,batchW19837-1-ee,607694,2018-10-05T21:28:13.0Z,FHCL.COLL_batchW19837-1-ee_20181005_171824,620,,R,Tibetan Buddhist Resource Center,32024824
459310598,W00KG03791-Outline,urn-3:HUL.DRS.OBJECT:37593705,Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,TEXT,2018-10-09T20:54:05.735Z,,outlineW00KG03791-Outline,609686,2018-10-09T20:54:04.0Z,FHCL.COLL_outlineW00KG03791-Outline_20181009_151219,1,,P,Tibetan Buddhist Resource Center,44473
459310601,W30084-5798,"urn-3:FHCL:37593708, urn-3:HUL.DRS.OBJECT:37593707",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-09T20:56:07.603Z,,batchW30084-1-82,609687,2018-10-09T20:56:07.0Z,FHCL.COLL_batchW30084-1-82_20181005_172900,560,,R,Tibetan Buddhist Resource Center,41126836
459311196,W25093-4812,"urn-3:FHCL:37593723, urn-3:HUL.DRS.OBJECT:37593722",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-09T20:58:07.257Z,,batchW25093-1-4c,609689,2018-10-09T20:58:07.0Z,FHCL.COLL_batchW25093-1-4c_20181005_172207,400,,R,Tibetan Buddhist Resource Center,40229896
459311598,W1PD137878-I2PD18011,"urn-3:FHCL:37593725, urn-3:HUL.DRS.OBJECT:37593724",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-09T20:58:22.581Z,,batchW1PD137878-1-eb,609690,2018-10-09T20:58:22.0Z,FHCL.COLL_batchW1PD137878-1-eb_20180926_130912,542,,R,Tibetan Buddhist Resource Center,44081695
459312142,W1PD137878-I2PD18012,"urn-3:FHCL:37593727, urn-3:HUL.DRS.OBJECT:37593726",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-09T20:58:39.407Z,,batchW1PD137878-1-eb,609690,2018-10-09T20:58:22.0Z,FHCL.COLL_batchW1PD137878-1-eb_20180926_130912,358,,R,Tibetan Buddhist Resource Center,32363619
459312502,W1PD137878-I2PD18013,"urn-3:FHCL:37593729, urn-3:HUL.DRS.OBJECT:37593728",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-09T20:58:51.5Z,,batchW1PD137878-1-eb,609690,2018-10-09T20:58:22.0Z,FHCL.COLL_batchW1PD137878-1-eb_20180926_130912,470,,R,Tibetan Buddhist Resource Center,38687767
459312974,W1PD137878-I2PD18014,"urn-3:FHCL:37593733, urn-3:HUL.DRS.OBJECT:37593732",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-10-09T20:59:06.876Z,,batchW1PD137878-1-eb,609690,2018-10-09T20:58:22.0Z,FHCL.COLL_batchW1PD137878-1-eb_20180926_130912,474,,R,Tibetan Buddhist Resource Center,38248827
