object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,object_mets_createDate_date,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
444862293,W1PD96684-I1PD106693,"urn-3:FHCL:37075360, urn-3:HUL.DRS.OBJECT:37075359",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:00:49.197Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,630,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,192979945
444862925,W1PD96684-I1PD106694,"urn-3:FHCL:37075362, urn-3:HUL.DRS.OBJECT:37075361",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:02:26.995Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,570,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,177712004
444863497,W1PD96684-I1PD106695,"urn-3:FHCL:37075364, urn-3:HUL.DRS.OBJECT:37075363",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:03:52.254Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,572,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,181134383
444864071,W1PD96684-I1PD106696,"urn-3:FHCL:37075366, urn-3:HUL.DRS.OBJECT:37075365",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:05:14.847Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,568,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,185212865
444864641,W1PD96684-I1PD106697,"urn-3:FHCL:37075368, urn-3:HUL.DRS.OBJECT:37075367",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:06:56.296Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,642,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,211663799
444865285,W1PD96684-I1PD106698,"urn-3:FHCL:37075370, urn-3:HUL.DRS.OBJECT:37075369",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:08:34.85Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,638,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,205239091
444865925,W1PD96684-I1PD106699,"urn-3:FHCL:37075372, urn-3:HUL.DRS.OBJECT:37075371",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:10:01.512Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,630,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,204072103
444866557,W1PD96684-I1PD106700,"urn-3:FHCL:37075374, urn-3:HUL.DRS.OBJECT:37075373",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:11:27.379Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,610,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,208555738
444867169,W1PD96684-I1PD106701,"urn-3:FHCL:37075376, urn-3:HUL.DRS.OBJECT:37075375",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:12:50.536Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,624,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,209890858
444867795,W1PD96684-I1PD106702,"urn-3:FHCL:37075378, urn-3:HUL.DRS.OBJECT:37075377",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:14:14.199Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,648,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,221942900
444868445,W1PD96684-I1PD106703,"urn-3:FHCL:37075380, urn-3:HUL.DRS.OBJECT:37075379",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:15:43.361Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,680,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,236460711
444869127,W1PD96684-I1PD106704,"urn-3:FHCL:37075382, urn-3:HUL.DRS.OBJECT:37075381",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:17:15.353Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,708,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,241336716
444869837,W1PD96684-I1PD106705,"urn-3:FHCL:37075384, urn-3:HUL.DRS.OBJECT:37075383",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:18:54.83Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,716,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,257466802
444870555,W1PD96684-I1PD106706,"urn-3:FHCL:37075386, urn-3:HUL.DRS.OBJECT:37075385",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:20:32.356Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,636,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,230892783
444871193,W1PD96684-I1PD106707,"urn-3:FHCL:37075388, urn-3:HUL.DRS.OBJECT:37075387",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,2018-05-17T05:21:59.395Z,batchW1PD96684-3,446671,2018-06-01T21:30:33.0Z,FHCL.COLL_batchW1PD96684-3_20180517_012941,536,,R,"bka' 'gyur (pe cing ), བཀའ་འགྱུར ༼པེ་ཅིང་༽",Tibetan Buddhist Resource Center,182612294
